City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,hamilton,16.2823,120.3867,28.060000000000002,57,8,3.13,PH,1675053511
203,ponta do sol,43.2561,-79.8729,-3.099999999999966,80,75,4.12,CA,1675053512
204,la mana,32.6811,-17.1041,14.180000000000007,61,39,2.45,PT,1675053512
205,parras,-0.9409,-79.2266,23.120000000000005,96,85,0.16,EC,1675053513
206,dunedin,44.0081,-0.2471,1.660000000000025,90,49,1.13,FR,1675053514
207,namatanai,-45.8741,170.5036,19.33000000000004,76,94,2.64,NZ,1675053272
208,teeli,-3.6642,152.4407,30.180000000000007,63,83,4.16,PG,1675053515
209,coquimbo,51.0111,90.2043,-14.949999999999989,89,39,0.73,RU,1675053516
210,barcelos,-29.9532,-71.338,15.930000000000007,88,0,1.03,CL,1675053517
211,ejea de los caballeros,41.5314,-8.6192,5.080000000000041,75,4,2.56,PT,1675053518
212,nikolskoye,42.1265,-1.1383,-1.8799999999999955,82,91,2.11,ES,1675053519
213,portland,59.7035,30.7861,0.9399999999999977,97,100,6.15,RU,1675053519
214,port hardy,45.5202,-122.6742,0.05000000000001137,43,0,3.13,US,1675053520
215,ocho rios,50.7244,-127.4976,-3.009999999999991,93,0,2.06,CA,1675053521
216,vlore,18.4081,-77.1011,22.640000000000043,81,8,4.82,JM,1675053522
217,daru,40.4511,19.4951,5.980000000000018,70,2,2.75,AL,1675053523
218,flinders,-9.0699,143.21,29.910000000000025,71,69,2.55,PG,1675053524
219,oromocto,-20.8629,144.2526,33.18000000000001,40,93,3.22,AU,1675053525
220,atar,45.8474,-66.4712,3.920000000000016,93,100,5.14,CA,1675053525
221,oistins,20.5182,-13.0544,13.410000000000025,47,70,3.6,MR,1675053526
222,kavieng,13.0632,-59.5422,23.310000000000002,78,20,3.09,BB,1675053527
223,shubarkuduk,-2.5735,150.7952,29.689999999999998,66,63,4.35,PG,1675053528
224,saskylakh,49.1432,56.482,-14.569999999999993,90,19,2.34,KZ,1675053528
225,lebedinyy,71.965,114.0939,-42.27999999999997,100,71,2.34,RU,1675053529
226,dolbeau,58.4923,125.4982,-22.129999999999967,85,16,2.36,RU,1675053530
227,marzuq,46.7464,-1.7985,4.060000000000002,82,94,3.32,FR,1675053531
228,kysyl-syr,14.3925,46.4701,16.82000000000005,47,16,0.68,YE,1675053532
229,maltahohe,63.8986,122.7713,-35.54999999999998,96,99,2.15,RU,1675053533
230,yeppoon,-24.842,16.9854,22.730000000000018,30,6,1.06,NA,1675053533
231,mahemdavad,-23.1348,150.7437,32.01000000000005,65,86,4.69,AU,1675053534
232,banda aceh,22.8245,72.7534,19.120000000000005,21,0,2.69,IN,1675053535
233,ilulissat,5.5528,95.3193,28.900000000000034,73,41,3.71,ID,1675053536
234,tiksi,69.2197,-51.0986,-7.839999999999975,53,75,12.86,GL,1675053536
235,narsaq,71.6366,128.8685,-38.02999999999997,96,56,1.87,RU,1675053537
236,kennett,60.9127,-46.0453,-10.859999999999957,71,100,3.89,GL,1675053538
237,saint george,36.2381,-90.0552,3.0,99,100,8.23,US,1675053539
238,florencia,12.0535,-61.7518,23.060000000000002,79,10,4.0,GD,1675053539
239,alofi,43.7699,11.2556,4.3700000000000045,100,62,0.51,IT,1675053540
240,port blair,-19.0534,-169.9192,28.28000000000003,74,78,2.06,NU,1675053541
241,vila franca do campo,11.6645,92.739,28.680000000000007,65,40,5.14,IN,1675053541
